4	4
5	5
8	8
2	2
9	9
8	8
5	5
1	1
1	1
1	1
2	2
3	3
1	1
2	2
3	3
2	2
6	6
6	6
1	1
6	6
3	3
13	13
13	13
5	5
8	8
3	3
12	12
4	4
10	10
1	1
6	6
2	2
7	7
8	8
26	26
7	7
4	4
3	3
6	6
12	12
9	9
16	16
23	23
2	2
5	5
10	10
9	9
2	2
1	1
8	8
24	24
10	10
8	8
10	10
2	2
13	13
1	1
10	10
6	6
5	5
12	12
6	6
5	5
2	2
6	6
6	6
6	6
2	2
5	5
8	8
2	2
7	7
1	1
8	8
2	2
7	7
2	2
4	4
3	3
1	1
1	1
4	4
3	3
2	2
11	11
2	2
2	2
9	9
4	4
4	4
14	14
1	1
13	13
8	8
12	12
2	2
2	2
6	6
6	6
4	4
3	3
7	7
16	16
2	2
13	13
12	12
14	14
2	2
14	14
5	5
17	17
9	9
3	3
3	3
23	23
14	14
8	8
5	5
11	11
2	2
4	4
3	3
8	8
3	3
5	5
2	2
2	2
4	4
5	5
3	3
2	2
2	2
3	3
3	3
1	1
3	3
2	2
1	1
3	3
1	1
2	2
